Soy,Tengo,Estoy trabajando en,Bolivia,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,24 - 26,Bolivia,Cochabamba,1 - 2,1 - 2,SysAdmin / DevOps,Windows;VMWare,,,,,No,0,Bruto,Full-Time,4500,Bruto,4,3,No,No recibo bono,Uno,6,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Laptop
Hombre,24 - 26,Bolivia,Santa Cruz de la Sierra,3 - 5,2 - 3,Developer,,CSS;HTML;Java;Javascript;RunRev,,,,No,0,Porcentaje de mi sueldo,Full-Time,9413,Neto,4,5,De uno a tres sueldos,Performance de la compañía,No,0,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Laptop
Hombre,27 - 30,Bolivia,La Paz,3 - 5,3 - 4,Developer,,CSS;HTML;Javascript;Python,,,,No,0,Porcentaje de mi sueldo,Full-Time,4002,Neto,3,3,No,No recibo bono,Uno,5,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,Bolivia,La Paz,8 - 10,5 - 6,HelpDesk,,,,,,No,0,Neto,Full-Time,4200,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Horarios flexibles
Hombre,37 - 40,Bolivia,La Paz,8 - 10,2 - 3,Service Specialist,,,,,,,,,Full-Time,7000,Bruto,2,1,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación;Capacitaciones y/o cursos;Laptop;Viajes al exterior;Viáticos
Hombre,37 - 40,Bolivia,Oruro,5 - 7,1 - 2,Developer,,C++;CSS;HTML;Javascript;jQuery;Objective-C;PHP,,,,No,0,Porcentaje de mi sueldo,Freelance,1800,Bruto,1,1,No,No recibo bono,No,0,1-10,Sí,Salario,WFH (Trabajar desde casa)
Hombre,27 - 30,Bolivia,Santa Cruz de la Sierra,3 - 5,3 - 4,Developer,,.NET;C#;HTML;Java;Javascript;jQuery;VB *,,,,No,0,Neto,Part-Time,2000,Neto,3,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Bolivia,La Paz,Menos de un año,Menos de un año,Developer,,.NET;CSS;HTML;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,5500,Neto,2,2,Menos de un sueldo,Bono refrigerio,No,0,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Bolivia,Camiri,8 - 10,6 - 7,HelpDesk,,,,,,No,0,Neto,Full-Time,4500,Neto,3,3,Menos de un sueldo,Performance individual,Uno,7,501-1000,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos
Hombre,27 - 30,Bolivia,Cochabamba,3 - 5,3 - 4,HelpDesk,,,,,,No,0,Neto,Full-Time,5800,Neto,3,3,Menos de un sueldo,Performance individual,Uno,10,1-10,No,No cambié de empresa,Bonos por desempeño
Mujer,27 - 30,Bolivia,Santa Cruz de la Sierra,3 - 5,3 - 4,Developer,,.NET;C#;CSS;HTML;Java;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,3500,Bruto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Guardería;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,24 - 26,Bolivia,Oruro,1 - 2,1 - 2,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,3019,Neto,3,2,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Bolivia,La Paz,3 - 5,Menos de un año,Developer,,.NET;C#;Java,,,,No,0,Porcentaje de mi sueldo,Remoto (empresa de otro país),6300,Bruto,4,3,No,No recibo bono,No,0,1-10,Sí,Mejores beneficios,Laptop;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,34 - 36,Bolivia,Tarija,10+,10+,Developer,,"CSS;HTML;Java;Javascript;jQuery;PHP;Delphi, Phonegap",,,,No,0,Bruto,Freelance,4000,Neto,3,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Horarios flexibles
