Soy,Tengo,Estoy trabajando en,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,24 - 26,Chile,3 - 5,2 - 3,Networking,,,,,,No,0,Bruto,Full-Time,2000000,Bruto,3,2,Menos de un sueldo,Performance de la compañía,Uno,4.7,51-100,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Horarios flexibles;Laptop;Viajes al exterior;Viáticos;WFH (Trabajar desde casa)
Hombre,27 - 30,Chile,10+,1 - 2,HelpDesk,,,,,,No,0,Bruto,Full-Time,600000,Neto,3,5,No,0,No,0,201-500,Sí,Desafíos profesionales,Comidas pagas/subvencionadas
Hombre,24 - 26,Chile,1 - 2,Menos de un año,Designer,,,,,,,,,Part-Time,350000,Bruto,3,2,Un sueldo,Mix de las anteriores,No,0,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,34 - 36,Chile,10+,6 - 7,Developer,,Java,,,,No,0,Bruto,Full-Time,2200000,Neto,4,3,No,No recibo bono,Uno,5,51-100,No,No cambié de empresa,Capacitaciones y/o cursos;Horarios flexibles;Laptop;Stock options;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Mujer,31 - 33,Chile,10+,2 - 3,Field Support,,,,,,,,,Full-Time,520000,Neto,3,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Ninguna de las anteriores
Hombre,34 - 36,Chile,10+,Menos de un año,Developer,,.NET;C#;Java,,,,No,0,Porcentaje de mi sueldo,Full-Time,1750000,Neto,5,5,No,No recibo bono,No,0,201-500,Sí,Desafíos profesionales,Ninguna de las anteriores
Hombre,21 - 23,Chile,1 - 2,1 - 2,Developer,,CSS;HTML;Java;Javascript;jQuery;Python,,,,No,0,Porcentaje de mi sueldo,Full-Time,800000,Neto,3,2,No,No recibo bono,No,0,51-100,No,No cambié de empresa,"Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop"
Hombre,24 - 26,Chile,1 - 2,1 - 2,HelpDesk,,,,,,No,0,Bruto,Freelance,500000,Neto,3,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Chile,3 - 5,1 - 2,SysAdmin / DevOps,Linux;Windows;AWS / Rackspace,,,,,"Sí, pasiva",0,Bruto,Full-Time,950000,Neto,4,3,No,No recibo bono,Dos,2.1,101-200,No,No cambié de empresa,Aumento por inflación;Comidas pagas/subvencionadas;Sueldo divido en dos pagos por mes;Bonos estacionales
Hombre,31 - 33,Chile,8 - 10,3 - 4,Developer,,CSS;HTML;Javascript;Ruby,,,,No,0,Bruto,Remoto (empresa de otro país),34600,Neto,3,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Horarios flexibles;WFH (Trabajar desde casa)
