Soy,Tengo,Costa Rica,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,24 - 26,San José,5 - 7,Menos de un año,Developer,,.NET;C#;CSS;HTML;Java;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,1400000,Bruto,5,5,No,No recibo bono,No,0,11-50,Sí,Salario,Laptop;Sueldo divido en dos pagos por mes
Hombre,Menos de 18 años,San José,3 - 5,2 - 3,Developer,,C++;CSS;HTML;Javascript;jQuery;NodeJS;PHP;Python;R;Ruby,,,,No,0,Porcentaje de mi sueldo,Part-Time,520000,Bruto,5,5,No,No recibo bono,Dos,0.5,11-50,No,No cambié de empresa,"Comidas pagas/subvencionadas;Snacks, golosinas, bebidas, etc;Viáticos;WFH (Trabajar desde casa)"
Hombre,50+,Esparza,10+,10+,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,66666666666666666666666,Neto,1,1,No,No recibo bono,No,0,1001+,No,No cambié de empresa,"Bonos por desempeño;Comidas pagas/subvencionadas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;Stock options;Viajes al exterior;Ninguna de las anteriores"
Hombre,27 - 30,San José,3 - 5,3 - 4,QA / Tester,,,Mix,Selenium,,,,,Full-Time,1750,Bruto,3,4,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Clases de idiomas;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)"
Hombre,41 - 45,Heredia,10+,1 - 2,Developer,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,3600,Bruto,4,4,Un sueldo,Mix de las anteriores,No,0,201-500,No,No cambié de empresa,Clases de idiomas;Playroom;Sueldo divido en dos pagos por mes
Hombre,27 - 30,Heredia,10+,1 - 2,Systems engineer senior,,,,,,,,,Full-Time,1800000,Bruto,5,3,No,No recibo bono,Uno,4,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Cuota para universidad;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos;WFH (Trabajar desde casa)
Hombre,21 - 23,San José,Menos de un año,Menos de un año,QA / Tester,,,Funcional,BRM ORACLE,,,,,Full-Time,750000,Bruto,5,5,No,No recibo bono,Uno,10,1-10,No,No cambié de empresa,"Capacitaciones y/o cursos;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos;WFH (Trabajar desde casa)"
Hombre,27 - 30,San José,8 - 10,6 - 7,Developer,,.NET;CSS;HTML;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,1400000,Bruto,3,3,No,No recibo bono,Uno,5,51-100,No,No cambié de empresa,Capacitaciones y/o cursos;WFH (Trabajar desde casa)
Hombre,31 - 33,San José,10+,1 - 2,HelpDesk,,,,,,No,0,Bruto,Full-Time,450000,Bruto,4,4,No,No recibo bono,No,0,51-100,Sí,Salario,Sueldo divido en dos pagos por mes;Viáticos
Hombre,27 - 30,San José,5 - 7,Menos de un año,SAP Basis ,,,,,,,,,Full-Time,1100000,Bruto,3,3,No,Performance individual,No,0,201-500,No,No cambié de empresa,Sueldo divido en dos pagos por mes
Hombre,24 - 26,Heredia,3 - 5,2 - 3,HelpDesk,,,,,,"Sí, activa",0,Bruto,Full-Time,620000,Bruto,3,2,De uno a tres sueldos,Performance de la compañía,No,0,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Descuentos en gimnasios;Laptop;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos;WFH (Trabajar desde casa)
Hombre,24 - 26,Heredia,5 - 7,4 - 5,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery,,,,No,0,Neto,Full-Time,1680000,Bruto,4,4,De uno a tres sueldos,Performance de la compañía,No,0,1001+,No,No cambié de empresa,"Aumento por inflación;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);WFH (Trabajar desde casa)"
Hombre,27 - 30,San José,10+,Menos de un año,HelpDesk,,,,,,No,0,Bruto,Full-Time,660000,Bruto,4,5,Menos de un sueldo,Performance individual,No,0,1001+,Sí,Reventado a estrés,Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Cuota para universidad;Laptop;Sueldo divido en dos pagos por mes
Hombre,18 - 20,Esparza,8 - 10,8 - 9,SysAdmin / DevOps,Linux;Windows;Azure;VMWare,,,,,"Sí, activa",0,Bruto,Full-Time,7000000,Bruto,5,5,Menos de un sueldo,Performance de la compañía,No,0,101-200,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Comidas pagas/subvencionadas;Cuota para universidad;Laptop;Snacks, golosinas, bebidas, etc"
Hombre,24 - 26,San José,3 - 5,1 - 2,Developer,,.NET;C#;CSS;HTML;Java;Javascript;jQuery;PHP;VB *,,,,No,0,Bruto,Full-Time,500000,Bruto,3,3,No,No recibo bono,No,0,1-10,Sí,Salario,Ninguna de las anteriores
Hombre,21 - 23,San José,3 - 5,1 - 2,Developer,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Neto,Full-Time,430000,Bruto,4,5,No,No recibo bono,Dos,20,11-50,No,No cambié de empresa,"Aumento por inflación;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Cuota para universidad;Snacks, golosinas, bebidas, etc;Sueldo divido en dos pagos por mes"
Mujer,27 - 30,San José,5 - 7,1 - 2,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,480000,Bruto,4,4,No,No recibo bono,Uno,0.04,501-1000,No,Salario,Ninguna de las anteriores
