Soy,Tengo,Estoy trabajando en,Argentina,Bolivia,Chile,Colombia,Cuba,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,México,Nicaragua,Panamá,Paraguay,Perú,Puerto Rico,República Dominicana,Uruguay,Venezuela,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,34 - 36,Ecuador,,,,,,,Quito,,,,,,,,,,,,,10+,3 - 4,IT MANAGER,,,,,,,,,Full-Time,3500,Bruto,3,2,Un sueldo,ventas,No,0,201-500,No,No cambié de empresa,Capacitaciones y/o cursos;Laptop
Hombre,27 - 30,Ecuador,,,,,,,Guayaquil,,,,,,,,,,,,,5 - 7,1 - 2,Networking,,,,,,No,0,Bruto,Full-Time,1080,Bruto,3,4,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ecuador,,,,,,,Guayaquil,,,,,,,,,,,,,3 - 5,2 - 3,PM,,,,,,,,,Full-Time,1300,Bruto,3,1,Menos de un sueldo,Fin de año ,No,0,51-100,No,No cambié de empresa,Horarios flexibles;Sueldo divido en dos pagos por mes
Hombre,27 - 30,Ecuador,,,,,,,Machala,,,,,,,,,,,,,8 - 10,7 - 8,Networking,,,,,,"Sí, activa",50,Bruto,Full-Time,890,Bruto,3,3,De uno a tres sueldos,decimos de ley,No,0,51-100,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Laptop;Sueldo divido en dos pagos por mes;Viáticos
Mujer,34 - 36,Ecuador,,,,,,,Cuenca,,,,,,,,,,,,,3 - 5,2 - 3,Developer,,.NET;C#;HTML;Javascript,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,832,Neto,2,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Sueldo divido en dos pagos por mes;Viáticos
Hombre,21 - 23,Ecuador,,,,,,,Quito,,,,,,,,,,,,,1 - 2,Menos de un año,Networking,,,,,,No,0,Neto,Part-Time,700,Neto,5,5,Menos de un sueldo,Performance de la compañía,No,12,1001+,No,No cambié de empresa,"Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Snacks, golosinas, bebidas, etc"
Hombre,27 - 30,Ecuador,,,,,,,Guayaquil,,,,,,,,,,,,,3 - 5,1 - 2,Networking,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,900,Neto,4,4,No,No recibo bono,No,0,11-50,Sí,Salario,Abono de celular y/o Internet;Capacitaciones y/o cursos;Comidas pagas/subvencionadas
Hombre,27 - 30,Ecuador,,,,,,,Quito,,,,,,,,,,,,,5 - 7,4 - 5,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,"Sí, pasiva",0,Bruto,Full-Time,1500,Neto,4,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios
Hombre,34 - 36,Ecuador,,,,,,,Quito,,,,,,,,,,,,,8 - 10,4 - 5,DBA,,,,,MSSQL;MySQL/MariaDB,"Sí, pasiva",0,Neto,Full-Time,800,Bruto,4,4,Menos de un sueldo,Performance de la compañía,No,0,51-100,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos
Hombre,27 - 30,Ecuador,,,,,,,Cuenca,,,,,,,,,,,,,8 - 10,Menos de un año,Developer,,HTML;Python,,,,No,0,Porcentaje de mi sueldo,Remoto (empresa de otro país),4000,Neto,5,3,No,No recibo bono,No,0,51-100,Sí,No tenía trabajo,Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior
