Soy,Tengo,Paraguay,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,21 - 23,Asunción,3 - 5,1 - 2,HelpDesk,,,,,,"Sí, activa",15000,Bruto,Full-Time,2500000,Bruto,1,1,Menos de un sueldo,Performance de la compañía,No,0,1001+,No,Salario,Abono de celular y/o Internet;Descuentos en gimnasios
Hombre,27 - 30,Asunción,8 - 10,3 - 4,SysAdmin / DevOps,Linux;Windows;Azure;VMWare,,,,,"Sí, pasiva",0,Neto,Full-Time,4500000,Neto,3,3,Menos de un sueldo,Mix de las anteriores,No,0,11-50,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,21 - 23,Asunción,Menos de un año,Menos de un año,Developer,,HTML;Javascript;jQuery;Python,,,,No,0,Porcentaje de mi sueldo,Part-Time,2500000,Bruto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Horarios flexibles
Hombre,34 - 36,Asunción,5 - 7,6 - 7,QA / Tester,,,Mix,Selenium;Oracle testing suite,,,,,Full-Time,6000000,Neto,4,3,Menos de un sueldo,Performance individual,No,0.4,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Asunción,3 - 5,1 - 2,Developer,,CSS;HTML;Javascript;Python,,,,No,0,Porcentaje de mi sueldo,Freelance,3000000,Bruto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Horarios flexibles;WFH (Trabajar desde casa)
Hombre,21 - 23,Asunción,1 - 2,2 - 3,Networking,,,,,,No,150000,Neto,Full-Time,2500000,Bruto,3,5,De uno a tres sueldos,Performance de la compañía,No,0,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Snacks, golosinas, bebidas, etc"
Mujer,21 - 23,Asunción,3 - 5,4 - 5,HelpDesk,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,1824055,Bruto,1,1,Menos de un sueldo,Performance individual,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Encarnación,8 - 10,10+,SysAdmin / DevOps,Linux;Windows;OpenStack;VMWare,,,,,No,0,Bruto,Full-Time,2600000,Bruto,2,2,Un sueldo,Performance de la compañía,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Asunción,Menos de un año,Menos de un año,HelpDesk,,,,,,No,0,Neto,Freelance,1300000,Neto,1,1,No,No recibo bono,No,0,101-200,Sí,Mayor comodidad,Ninguna de las anteriores
Hombre,27 - 30,Asunción,8 - 10,1 - 2,Todas las visualizadas,,,,,,,,,Full-Time,15000000,Bruto,3,3,Un sueldo,Aguinaldo,Uno,30,501-1000,Sí,Salario,Aumento por inflación;Horarios flexibles
Hombre,27 - 30,Asunción,5 - 7,4 - 5,Developer,,Oracle Forms&Report,,,,"Sí, activa",70000,Bruto,Full-Time,4299000,Bruto,3,3,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Asunción,3 - 5,1 - 2,Networking/SysAdmin/Telefonia,,,,,,,,,Full-Time,4500000,Bruto,4,3,No,No recibo bono,No,0,101-200,Sí,Salario,Ninguna de las anteriores
Hombre,31 - 33,Asunción,10+,7 - 8,PM,,,,,,,,,Full-Time,12000000,Bruto,4,4,Un sueldo,Performance de la compañía,No,0,501-1000,Sí,Mayor comodidad,Comidas pagas/subvencionadas
Mujer,27 - 30,Asunción,10+,2 - 3,Developer,,.NET;C#;HTML;Java;Javascript;jQuery;PHP,,,,No,0,Bruto,Full-Time,7000000,Bruto,3,3,Menos de un sueldo,Performance individual,Dos,6,101-200,No,No cambié de empresa,Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes
Hombre,34 - 36,Asunción,8 - 10,2 - 3,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,2000000,Neto,1,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Abono de celular y/o Internet
