Soy,Tengo,Perú,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,21 - 23,Lima,1 - 2,2 - 3,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,1500,Neto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Lima,8 - 10,1 - 2,HelpDesk,,,,,,No,0,Neto,Full-Time,1800,Bruto,3,3,Menos de un sueldo,pasaje,No,0,101-200,No,No cambié de empresa,Descuentos en gimnasios;Horarios flexibles;Viáticos
Hombre,27 - 30,Lima,5 - 7,2 - 3,BI,,,,,,,,,Full-Time,6500,Bruto,3,2,Menos de un sueldo,Mix de las anteriores,No,0,1001+,No,No cambié de empresa,Bonos por desempeño;Descuentos en gimnasios;Sueldo divido en dos pagos por mes
Hombre,31 - 33,Lima,5 - 7,2 - 3,HelpDesk,,,,,,No,0,Bruto,Full-Time,1000,Bruto,2,2,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Lima,5 - 7,1 - 2,Developer,,CSS;HTML;Java;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,7000,Bruto,3,3,No,No recibo bono,No,0,1-10,Sí,Salario,Abono de celular y/o Internet;Capacitaciones y/o cursos
Hombre,24 - 26,Lima,3 - 5,Menos de un año,Developer,,.NET;CSS;HTML;Javascript;PHP,,,,No,0,Porcentaje de mi sueldo,Freelance,2500,Neto,4,4,No,No recibo bono,No,0,1-10,Sí,Salario,Horarios flexibles;WFH (Trabajar desde casa)
Hombre,31 - 33,Lima,5 - 7,1 - 2,Developer,,HTML;Java;Javascript;VB *,,,,No,0,Bruto,Full-Time,5500,Bruto,3,3,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Lima,3 - 5,1 - 2,Developer,,C#;CSS;HTML;Javascript,,,,No,0,Porcentaje de mi sueldo,Freelance,1000,Bruto,2,3,No,No recibo bono,No,0,1-10,Sí,Mayor comodidad,WFH (Trabajar desde casa)
Hombre,31 - 33,Lima,5 - 7,2 - 3,SysAdmin / DevOps,Linux;Windows;AWS / Rackspace;VMWare,,,,,No,0,Neto,Full-Time,4000,Bruto,4,4,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Laptop;Sueldo divido en dos pagos por mes
Hombre,21 - 23,Lima,1 - 2,1 - 2,Developer,,CSS;HTML;Java;Javascript;NodeJS;PHP;Python,,,,No,0,Porcentaje de mi sueldo,Full-Time,2000,Bruto,3,3,No,No recibo bono,No,0,1-10,Sí,Desafíos profesionales,Comidas pagas/subvencionadas
