Soy,Tengo,Uruguay,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,31 - 33,Montevideo,10+,9 - 10,Developer,,CSS;HTML;Java;Javascript;jQuery;NodeJS,,,,No,0,Neto,Remoto (empresa de otro país),100000,Neto,5,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Laptop;WFH (Trabajar desde casa)
Hombre,21 - 23,Montevideo,1 - 2,1 - 2,Seguridad Informática,,,,,,,,,Part-Time,34000,Bruto,4,4,Menos de un sueldo,Performance grupal,Uno,8,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Guardería;Horarios flexibles"
Hombre,21 - 23,Montevideo,1 - 2,1 - 2,Networking,,,,,,No,35000,Neto,Full-Time,35000,Neto,4,3,Menos de un sueldo,Performance individual,Dos,15,101-200,No,No cambié de empresa,"Abono de celular y/o Internet;Comidas pagas/subvencionadas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;Snacks, golosinas, bebidas, etc"
Hombre,27 - 30,Montevideo,5 - 7,2 - 3,HelpDesk,,,,,,"Sí, pasiva",8500,Bruto,Full-Time,33800,Bruto,3,3,No,No recibo bono,Uno,9,501-1000,No,No cambié de empresa,Horarios flexibles
Hombre,31 - 33,Montevideo,8 - 10,5 - 6,SysAdmin / DevOps,*BSD;Linux;Windows;Azure;VMWare,,,,,"Sí, pasiva",2500,Neto,Full-Time,33000,Neto,2,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Aumento por inflación
Hombre,46 - 49,Montevideo,10+,2 - 3,Networking,,,,,,No,0,Neto,Full-Time,19000,Neto,1,2,No,No recibo bono,Más de dos,0.5,51-100,No,Mayor comodidad,Aumento por inflación
Hombre,34 - 36,Montevideo,8 - 10,8 - 9,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,53000,Bruto,3,2,No,No recibo bono,Uno,5,501-1000,No,No cambié de empresa,Aumento por inflación
Hombre,27 - 30,Montevideo,3 - 5,5 - 6,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery;NodeJS,,,,"Sí, pasiva",0,Bruto,Full-Time,50000,Bruto,2,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Vacaciones flexibles (adicionales a las reglamentarias);Ninguna de las anteriores
Hombre,31 - 33,Montevideo,8 - 10,1 - 2,HelpDesk,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,51000,Bruto,4,2,Un sueldo,Performance de la compañía,Uno,11,1-10,No,No cambié de empresa,Aumento por inflación;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior
Hombre,31 - 33,Montevideo,3 - 5,Menos de un año,QA / Tester,,,Mix,Selenium,,,,,Full-Time,42000,Neto,3,2,No,No recibo bono,No,0,1001+,No,Mejores beneficios,Horarios flexibles
Hombre,24 - 26,Montevideo,5 - 7,2 - 3,SysAdmin / DevOps,Linux;Windows;Azure;VMWare,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,34000,Neto,4,3,No,No recibo bono,Uno,8,101-200,No,No cambié de empresa,Aumento por inflación;Descuentos en gimnasios
Mujer,31 - 33,Montevideo,8 - 10,6 - 7,Developer,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,34000,Neto,3,3,No,No recibo bono,Uno,5,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Montevideo,8 - 10,Menos de un año,HelpDesk,,,,,,No,0,Bruto,Full-Time,40000,Bruto,3,3,No,No recibo bono,Uno,3,201-500,No,No cambié de empresa,Abono de celular y/o Internet;Clases de idiomas;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Playroom;WFH (Trabajar desde casa)
Hombre,18 - 20,San José de Mayo,1 - 2,Menos de un año,HelpDesk,,,,,,No,0,Neto,Full-Time,16520,Bruto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Montevideo,5 - 7,6 - 7,"Help Desk, Networking, SysAdmin/DevOps",,,,,,,,,Full-Time,40000,Bruto,3,3,No,No recibo bono,Uno,9.4,101-200,No,No cambié de empresa,Aumento por inflación
Hombre,21 - 23,Maldonado,3 - 5,2 - 3,Hostelería ,,,,,,,,,Full-Time,19000,Neto,3,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Montevideo,5 - 7,2 - 3,Developer,,HTML;Java;Javascript;jQuery;Ruby,,,,No,0,Neto,Full-Time,70000,Bruto,4,4,3+ sueldos,Performance de la compañía,Uno,12,201-500,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Clases de idiomas;Cuota para universidad;Descuentos en gimnasios;Horarios flexibles;Laptop;Viajes al exterior;WFH (Trabajar desde casa)
Hombre,24 - 26,Montevideo,3 - 5,2 - 3,Developer,,Java,,,,No,0,Bruto,Full-Time,43000,Neto,2,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Snacks, golosinas, bebidas, etc;Viajes al exterior"
Hombre,37 - 40,Salto,10+,9 - 10,SysAdmin / DevOps,*BSD;HP-UX;Linux;Windows;OpenStack,,,,,"Sí, activa",4500,Neto,Part-Time,22500,Neto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Montevideo,1 - 2,1 - 2,Developer,,CSS;HTML;Javascript;jQuery;PHP;Angular js,,,,No,0,Porcentaje de mi sueldo,Full-Time,20000,Neto,3,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Laptop
Hombre,24 - 26,Montevideo,1 - 2,Menos de un año,HelpDesk,,,,,,"Sí, activa",5000,Bruto,Full-Time,27000,Bruto,2,1,No,No recibo bono,No,0,101-200,Sí,Desafíos profesionales,Ninguna de las anteriores;ninguno
Hombre,21 - 23,Las Piedras,3 - 5,1 - 2,SysAdmin / DevOps,Linux;Windows,,,,,No,0,Neto,Part-Time,23000,Neto,5,4,No,No recibo bono,Uno,2,51-100,No,No cambié de empresa,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Montevideo,3 - 5,3 - 4,Consultor ,,,,,,,,,Full-Time,38000,Neto,2,2,Un sueldo,Performance de la compañía,No,0,201-500,No,No cambié de empresa,Clases de idiomas;Laptop
Hombre,21 - 23,Montevideo,1 - 2,Menos de un año,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,26000,Bruto,2,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Aumento por inflación;Ninguna de las anteriores
Hombre,34 - 36,Montevideo,8 - 10,2 - 3,HelpDesk,,,,,,No,0,Neto,Full-Time,28000,Bruto,2,2,No,No recibo bono,Uno,9,201-500,No,No cambié de empresa,Comidas pagas/subvencionadas;Descuentos en gimnasios
Hombre,24 - 26,Montevideo,5 - 7,2 - 3,Developer,,.NET;C#;CSS;HTML;Java;Javascript;jQuery;PHP,,,,"Sí, pasiva",0,Bruto,Part-Time,34500,Bruto,3,2,Menos de un sueldo,Performance de la compañía,No,0,201-500,No,No cambié de empresa,Ninguna de las anteriores
